n_knots,lambda,lr,steps,outer_fold,inner_mse_mean,inner_mse_std
8,0.0001,0.03,2500,1,1122.6377980544537,172.93027998447695
8,0.001,0.03,2500,1,1118.821870867242,172.2928577118965
10,0.001,0.03,3000,1,903.8544263557434,152.72965244783313
10,0.01,0.03,3000,1,886.470178156021,152.89185341509594
12,0.01,0.02,3500,1,975.197248295185,185.72835980325817
12,0.1,0.02,3500,1,1008.9073980381016,137.26340345625525
8,0.0001,0.03,2500,2,1019.1180638262704,181.50484076565837
8,0.001,0.03,2500,2,1020.2121426420098,184.93411879628079
10,0.001,0.03,3000,2,781.4540344722076,119.7003481291259
10,0.01,0.03,3000,2,795.6553484071279,123.41191781133661
12,0.01,0.02,3500,2,930.1244517117193,197.6198250143488
12,0.1,0.02,3500,2,951.4845278759573,189.68708189563134
8,0.0001,0.03,2500,3,1178.1246195199803,198.77796408532907
8,0.001,0.03,2500,3,1178.759003222501,193.1080030844338
10,0.001,0.03,3000,3,953.0220402876031,190.20174184640516
10,0.01,0.03,3000,3,973.2729279945811,199.63238207249825
12,0.01,0.02,3500,3,1025.0650446528941,168.2383490761327
12,0.1,0.02,3500,3,1101.9172157755704,153.9723747864366
8,0.0001,0.03,2500,4,1163.7532276489283,227.50874597328624
8,0.001,0.03,2500,4,1168.889102199764,222.69743354957953
10,0.001,0.03,3000,4,1012.115758273657,190.23436861421155
10,0.01,0.03,3000,4,999.3445301838445,197.61160896167544
12,0.01,0.02,3500,4,1033.1481161419122,153.19351511637794
12,0.1,0.02,3500,4,1077.1671228379885,194.68369456852554
8,0.0001,0.03,2500,5,1139.3232662105918,407.08759989794186
8,0.001,0.03,2500,5,1137.8566984589963,408.6769174856076
10,0.001,0.03,3000,5,985.8590361875504,317.28848078525783
10,0.01,0.03,3000,5,1007.7519592222488,351.9069603893611
12,0.01,0.02,3500,5,1051.6487280264628,329.5775315176908
12,0.1,0.02,3500,5,1126.532138240659,434.5078509896219
